Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,-4.096626184408,70.06118,,17.12963,,201538700000.0,0.3387,56792792911.5,36.66254,116726500000.0,201538700000.0,,511462986.0,66379872634.0,1998.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,12.513644391628,63.82389,,22.94458,,377213000000.0,0.25792,168687991253.6,33.61115,242488000000.0,377213000000.0,,488000000.0,149628000000.0,1998.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,11.1723129417499,79.97109,,30.55556,,13146000000.0,0.50462,7360337320.05,52.03804,7209000000.0,13146000000.0,,161000000.0,5500000000.0,1998.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,6.26627241201425,50.86531,,0.0,,91938300000.0,-0.31451,35807807554.532,1.37399,88093900000.0,91938300000.0,,,25769700000.0,1998.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,-1.87204993585448,88.64247,,12.84805,,104376606400.0,0.02941,3522789075.0,3.80528,40265041300.0,104376606400.0,,541087724.0,17861320426.0,1998.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,,69.4257,,192.74952,,4123591000.0,0.07516,,7.56417,3059028000.0,4123591000.0,,,536726000.0,1998.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,,,,,,,,,,,,,,,1998.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,7.04214421688981,63.19147,,102.01661,,18776277850.5898,0.88426,,104.07755,5388073394.49541,18776277850.5898,,437385801.0,13883189778.0,1998.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,,38.36683,,0.72069,,2945588464.0,0.09098,,14.08646,1106096147.4,2967264464.0,,,2460603080.0,1998.0
PTT.BK,PTT PCL,PTT,Thailand,A-,,59.20675,,0.0,,146289910000.0,1.41315,,158.81647,46672237000.0,146289910000.0,,,212769245000.0,1998.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,,,,,,,,,,,,,,,1998.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,131.79910209147,8.20745,,,,115188000.0,-0.13872,,0.0,38437000.0,115188000.0,,,,1998.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,,,,,,,,,,,,,,,1998.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,,,,,,,,,,,,,,,1998.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,,,,,,,,,,,,,,,1998.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,,,,,,,,,,,,,,,1998.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,,,,,,,,,,,,,,,1998.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,,,,,,,,,,,,,,,1998.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,,,,,,,,,,,,,,,1998.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,,,,,,,,,,,,,,,1998.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,,,,,,,,,,,,,,,1998.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,,,,,,,,,,,,,,,1998.0
601857.SS,PetroChina Co Ltd,601857,China,A+,,,,,,,,,,,,,,,1998.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,,,,,,,,,,,,,,,1998.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,,,,,,,,,,,,,,,1998.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,,,,,,,,,,,,,,,1998.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,,,,,,,,,,,,,,,1998.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,1998.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,,,,,,,,,,,,,,,1998.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,3.71663254940987,88.38719,,36.75819,,223064000.0,0.66722,87493625.0,67.12283,111290000.0,223064000.0,,,97274000.0,1998.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,15.5683882084478,65.15402,,39.32875,,139623000000.0,0.17813,151400291530.125,25.2243,63121000000.0,139623000000.0,,1252000000.0,197735000000.0,1997.0
TTEF.PA,TotalEnergies SE,TTE,France,A,10.5141496411443,40.47169,,33.74441,,25188610327.0795,0.24311,26182600033.206,44.9967,11311472688.0292,25490453262.4938,,,32759230230.0,1997.0
BP.L,BP PLC,BP.,United Kingdom,A-,18.8657857948181,59.73477,,32.03511,,54148824033.2038,0.30237,75926782989.6568,31.03473,23242637854.9311,54148824033.2038,,326070057.0,71211078780.0,1997.0
CVX.N,Chevron Corp,CVX,United States of America,A+,14.9404707715028,61.1421,,32.94824,,65073000000.0,0.34377,50569953203.0,41.20643,30238000000.0,65073000000.0,,964000000.0,85783000000.0,1997.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,,,,,,,,,,,,,,,1997.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,69.4859970756945,56.17684,,58.90152,,15291000000.0,1.13229,8978711875.0,115.86561,4286000000.0,15291000000.0,,119000000.0,8101000000.0,1997.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,,,,56.57857,,962705000000.0,0.05335,,7.10438,757423000000.0,962705000000.0,,,138820000000.0,1997.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,13.1794713663354,54.68445,,17.97129,,534684000000.0,0.34617,487080000000.0,40.28222,264076000000.0,534684000000.0,,,642881000000.0,1997.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,,,,,,,,,,,,,,,1997.0
