Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,-0.626170106963096,48.46021,,-527.14777,,1008642000000.0,0.64098,489048000000.0,80.35585,367081000000.0,1008642000000.0,,,1190143000000.0,2001.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,20.4541631623213,60.38993,,13.98026,,4052000.0,-0.20639,3868189.95837109,12.69479,2631000.0,4052000.0,,,3057000.0,2001.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,26.5262887590679,71.62601,,34.43051,,10781000000.0,0.14272,17072523008.52,34.44367,4323000000.0,10781000000.0,,45000000.0,17253000000.0,2001.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,,,,24.36647,,,,11680507894.4,,,,,22000000.0,4294000000.0,2001.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,25.493974728009,52.15417,,30.02211,,63876000000.0,0.32146,56221696897.276,40.72368,29551000000.0,63876000000.0,590360000.0,,65601000000.0,2001.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,12.3687733548495,66.57952,,32.75599,,360294000000.0,0.73489,260287843551.879,87.55717,139039000000.0,360294000000.0,,3775000000.0,304347000000.0,2001.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,2.56861966941242,41.04736,,231.61765,,564560000.0,0.50269,2594259239.05418,54.86598,284804000.0,564563000.0,,,323118000.0,2001.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,27.5634559934256,,,27.85755,,75158596000.0,0.14437,56404004720.0,73.21541,28966503000.0,75158596000.0,,1386017000.0,57511593000.0,2001.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,13.7135477769969,-35.242,,33.00942,,5771543000.0,0.16761,2541240000.0,26.95185,2223922000.0,5771543000.0,122000000.0,87039000.0,7736384000.0,2001.0
REP.MC,Repsol SA,REP,Spain,BBB+,12.9305373525557,118.27213,,39.47263,,51439000000.0,0.79838,19997743523.94,99.6545,14538000000.0,51439000000.0,,,43743000000.0,2001.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,20.7212072185193,61.65881,,23.77425,,607632740000.0,0.11948,316960780905.565,22.37158,377370950000.0,607632740000.0,,4204889136.0,396018794878.0,2001.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,23.0465210904652,50.47271,,37.03445,,455351000000.0,0.04706,389779056713.2,21.73671,298548000000.0,455351000000.0,,709000000.0,229250000000.0,2001.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,20.1962110960758,71.23736,,42.571,,30856000000.0,0.30635,9247086543.6,32.54865,18861000000.0,30856000000.0,,224000000.0,17942000000.0,2001.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,18.1352568319766,49.67145,,19.69859,,469972800000.0,-0.26566,389291575193.085,0.22038,450564600000.0,469972800000.0,,,163866000000.0,2001.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,32.0179887546865,59.91604,,9.31322,,174068894120.0,0.21581,105172267200.24,22.86037,122999315450.0,174068894120.0,,619637135.0,104412040145.0,2001.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,2.39150989512165,74.10954,,,,6867387000.0,0.16488,,17.81754,4287718000.0,6867387000.0,,,1551583000.0,2001.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,41.6676094154204,11.47064,,3.69268,,2224304000.0,-0.15026,8648583819.6,39.57279,821387000.0,2224307000.0,,,1899336000.0,2001.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,36.6672956870305,63.34679,,68.45728,,22322628243.1058,0.66336,14943240162.4609,78.45879,5787455705.96586,22322628243.1058,,320336688.0,25799740928.0,2001.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,9.85981507972382,53.62862,,37.07827,,8423593688.0,0.0487,1406142931.44575,13.37306,5983281741.1,8485007688.0,,,5747140200.0,2001.0
PTT.BK,PTT PCL,PTT,Thailand,A-,14.5958450250092,40.09576,,17.0651,,287226443000.0,1.28563,96504977512.5,205.54646,57974927000.0,287226443000.0,,0.0,387094824000.0,2001.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,,30.05571,,30.18868,,43975000.0,2.08421,,237.01176,9524000.0,43975000.0,,,228339000.0,2001.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,40.0475588578373,13.52994,,,,1903467000.0,0.63108,,112.01794,737672000.0,1903467000.0,,,,2001.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,,,,,,,,,,,,,,,2001.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,,,,,,,,,,,,,,,2001.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,,,,,,,,,,,,,,,2001.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,,,,,,,,,,,,1048285137.977,,,2001.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,,,,,,,,,,,,,,,2001.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,,,,,,,,,,,,,,,2001.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,,,,,,,,,,,,,,,2001.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,,,,,,,,,,,,,,,2001.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,,,,,,,,,,,,,,,2001.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,,,,,,,,,,,,,,,2001.0
601857.SS,PetroChina Co Ltd,601857,China,A+,,,,,,,,,,,,1363000000.0,,,2001.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,2.09198923345421,,,0.0,,20995351342000.0,0.02595,,12.00629,6543392858000.0,20995351342000.0,,,8726969727000.0,2001.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,,,,,,,,,,,,,,,2001.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,,,,,,,,,,,,,,,2001.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,,,,,,,,,,,,,,,2001.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,2001.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,,,,,,,,,,,,,,,2001.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,28.9236109132152,86.81016,,36.39376,,417253000.0,0.11643,464211234.3,11.78276,279162000.0,417253000.0,,,259179000.0,2001.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,23.1194337871716,60.28792,,41.2001,,149000000000.0,0.08596,302211217266.563,18.1667,70757000000.0,149000000000.0,,936000000.0,227596000000.0,2000.0
TTEF.PA,TotalEnergies SE,TTE,France,A,23.8198100852061,22.80978,,49.18313,,80250624205.0219,0.30632,110390030377.161,46.18764,31034060394.7802,80250624205.0219,,473605768.0,105554194484.0,2000.0
BP.L,BP PLC,BP.,United Kingdom,A-,21.7873450750163,52.22596,,29.36105,,143938000000.0,0.27193,182395418717.581,28.77394,73416000000.0,143938000000.0,,599000000.0,161826000000.0,2000.0
CVX.N,Chevron Corp,CVX,United States of America,A+,24.4616219849539,57.09666,,44.99964,,77621000000.0,0.37151,54193403094.6875,46.65103,33369000000.0,77621000000.0,,949000000.0,117095000000.0,2000.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,,,,,,,,,,,,,,,2000.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,26.2806544221922,69.38807,,46.12416,,19414000000.0,0.82696,8957316444.5,84.07444,4774000000.0,19414000000.0,,94000000.0,9406000000.0,2000.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,13.92245765065,68.13408,,-86.57714,,2234478000000.0,0.27534,165714590300.0,30.25153,1484214000000.0,2234478000000.0,,5068000000.0,641520000000.0,2000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,6.46457588485258,47.50833,,14.67614,,932628000000.0,0.83046,469368000000.0,88.56246,379813000000.0,932628000000.0,,,1039264000000.0,2000.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,,52.56849,,12.99094,,4088000.0,-0.22825,3846211.60633489,20.99103,2563000.0,4088000.0,,,3055000.0,2000.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,30.7531380753138,65.73284,,39.64041,,11244000000.0,0.09324,16473678345.75,33.58706,4204000000.0,11244000000.0,,35000000.0,18051000000.0,2000.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,12.8082584591856,86.09688,,39.19355,,6833000000.0,0.90453,8491159445.3,91.30259,2472000000.0,6833000000.0,,53000000.0,3388000000.0,2000.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,38.5010675108592,46.73026,,41.85575,,57344000000.0,0.32681,54550594194.901,45.00751,22975000000.0,57344000000.0,,,65686000000.0,2000.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,,59.20896,,30.66662,,340918000000.0,0.67601,22083614486.1381,96.1476,120793000000.0,340918000000.0,,2883000000.0,322932000000.0,2000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,,44.33322,,23.59014,,532445000.0,0.35435,3005447846.4,44.58695,283642000.0,532444000.0,,,414211000.0,2000.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,34.7755943252813,36.21123,,30.41903,,66979136000.0,0.23339,51446778080.0,68.4989,24945639000.0,66979136000.0,,1351538000.0,49782445000.0,2000.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,11.8346974394102,50.50601,,28.75274,,5833817000.0,0.52771,2227500000.0,61.47455,1944648000.0,5833820000.0,,67681000.0,7454468000.0,2000.0
REP.MC,Repsol SA,REP,Spain,BBB+,19.065147620279,110.81287,,32.55491,,52419000000.0,1.0727,20779096140.26,118.29628,15143000000.0,52419000000.0,,,45091000000.0,2000.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,37.5172023717475,57.89935,,18.62485,,488136879000.0,0.08015,194859607713.744,20.0991,300117589000.0,488136879000.0,,3657940910.0,378174814080.0,2000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,24.0000232908179,56.79024,,42.89817,,403395000000.0,0.12325,189007550639.6,19.10326,303113000000.0,403395000000.0,,712000000.0,236403000000.0,2000.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,36.6217647949145,71.0182,,42.47769,,28894000000.0,0.17607,10334479495.2,22.90399,18095000000.0,28894000000.0,,314000000.0,18897000000.0,2000.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,41.0945293855455,28.56957,,25.51542,,287475400000.0,-0.35842,161237033007.877,0.16401,272543400000.0,287475400000.0,,,171027200000.0,2000.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,19.3674221575869,73.53365,,11.32997,,130459966139.0,0.16503,37741451580.0862,17.29345,90435423975.0,130459966139.0,,134471535.0,67472746021.0,2000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,4.18759578331405,67.62722,,46.07856,,4163247000.0,0.12116,,13.43259,2513187000.0,4163247000.0,,,958483000.0,2000.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,38.1895809897269,15.10567,,8.98976,,1116627000.0,-0.22617,8671225937.88,24.37672,601648000.0,1116626000.0,,,719925000.0,2000.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,40.03503315744,61.9137,,70.85983,,24366068679.2195,0.33255,,52.60148,7735364893.99313,24366068679.2195,,278650184.0,26118568144.0,2000.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,8.33713361011939,60.9101,,26.92066,,6523023248.0,0.01905,,6.91125,4750177072.3,6595140248.0,,,5283048220.0,2000.0
PTT.BK,PTT PCL,PTT,Thailand,A-,21.7784725329132,42.94327,,21.45062,,236618405000.0,3.79738,,456.2798,21697636000.0,236618405000.0,,201792000.0,365105998000.0,2000.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,,,,,,,,,,,,,,,2000.0
